Transaction_Amount,Merchant_Category,User_Country,Transaction_Country,Device_Type,Transaction_Day,User_Avg_Spend,User_Transaction_Frequency,status,Is_Fraud
10043,Grocery stores,Australia,Australia,Mobile,Weekday,7033,2,0,No Fraud
25420,Liquor stores,Nigeria,Indonesia,Tablet,Weekday,3753,9,1,Fraud
25186,Taxi services,Mexico,Indonesia,Tablet,Weekday,8172,3,1,Fraud
20381,Department stores,Nigeria,Philippines,Laptop,Weekday,4936,7,1,Fraud
24587,Grocery stores,Japan,Pakistan,Mobile,Weekday,7710,5,1,Fraud
10587,Adult websites,Australia,Mexico,Mobile,Weekday,7201,6,1,Fraud
9053,Department stores,South Korea,Russia,Tablet,Weekend,8037,5,1,Fraud
10880,Clothing stores,United Kingdom,Philippines,Mobile,Weekday,8417,7,1,Fraud
3166,Grocery stores,Mexico,Mexico,Tablet,Weekend,2704,1,0,No Fraud
11414,Clothing stores,Australia,South Africa,Tablet,Weekend,5412,1,1,Fraud
8079,Grocery stores,Canada,Brazil,Mobile,Weekend,9052,6,1,Fraud
11211,Taxi services,Nigeria,Nigeria,Tablet,Weekday,9399,1,0,No Fraud
12653,Clothing stores,Brazil,Brazil,Tablet,Weekend,9257,1,0,No Fraud
12683,Liquor stores,France,France,Mobile,Weekday,7005,2,0,No Fraud
26808,Department stores,Russia,Philippines,Tablet,Weekday,5951,1,1,Fraud
7312,Bakeries,Germany,Germany,Laptop,Weekend,6355,1,0,No Fraud
10109,Adult websites,Russia,Russia,Laptop,Weekday,2798,4,1,Fraud
8691,Taxi services,Mexico,Mexico,Tablet,Weekend,6038,2,0,No Fraud
7878,Airlines,Argentina,Pakistan,Laptop,Weekday,3611,3,1,Fraud
26910,Airlines,America,Pakistan,Tablet,Weekend,7960,3,1,Fraud
8324,Clothing stores,France,France,Mobile,Weekend,5269,2,0,No Fraud
20372,Bakeries,Japan,Brazil,Laptop,Weekend,3894,7,1,Fraud
12058,Taxi services,Argentina,Argentina,Laptop,Weekday,6203,2,0,No Fraud
5777,Taxi services,Brazil,Brazil,Tablet,Weekday,3838,2,0,No Fraud
24507,Hotels,Mexico,Mexico,Laptop,Weekend,2619,8,1,Fraud
9231,Clothing stores,Spain,Spain,Laptop,Weekday,8963,1,1,Fraud
19558,Clothing stores,United Kingdom,Philippines,Tablet,Weekday,6228,2,1,Fraud
11966,Bakeries,Canada,Pakistan,Mobile,Weekend,4233,1,1,Fraud
7132,Clothing stores,Australia,South Africa,Mobile,Weekend,3870,1,1,Fraud
10122,Grocery stores,India,India,Mobile,Weekday,9148,2,0,No Fraud
19124,Hotels,Italy,Nigeria,Tablet,Weekday,5579,7,1,Fraud
3428,Taxi services,Nigeria,Nigeria,Laptop,Weekend,5188,2,1,Fraud
5359,Liquor stores,South Africa,Vietnam,Laptop,Weekday,2533,2,1,Fraud
10519,Airlines,Brazil,South Africa,Laptop,Weekday,3138,3,1,Fraud
6761,Taxi services,South Africa,South Africa,Laptop,Weekend,9968,1,1,Fraud
7265,Liquor stores,Italy,Italy,Tablet,Weekday,5522,2,0,No Fraud
8101,Bakeries,Japan,Japan,Tablet,Weekday,9627,2,0,No Fraud
23092,Liquor stores,Nigeria,Nigeria,Mobile,Weekday,4041,9,1,Fraud
6812,Taxi services,Russia,Russia,Tablet,Weekend,3543,1,0,No Fraud
11660,Airlines,South Korea,Mexico,Laptop,Weekend,3646,10,1,Fraud
22569,Grocery stores,France,Vietnam,Tablet,Weekday,6654,10,1,Fraud
4334,Bakeries,France,France,Laptop,Weekday,4145,1,0,No Fraud
23741,Liquor stores,India,Russia,Mobile,Weekday,8658,2,1,Fraud
9001,Clothing stores,South Africa,South Africa,Mobile,Weekday,4991,2,0,No Fraud
10511,Liquor stores,Spain,Vietnam,Laptop,Weekend,5025,5,1,Fraud
5772,Bakeries,South Korea,South Korea,Tablet,Weekend,8711,2,0,No Fraud
18758,Liquor stores,Brazil,South Africa,Laptop,Weekday,9305,5,1,Fraud
18268,Clothing stores,Mexico,Pakistan,Mobile,Weekday,3219,3,1,Fraud
14672,Taxi services,Russia,Vietnam,Mobile,Weekend,5453,4,1,Fraud
7159,Hotels,China,India,Tablet,Weekend,6419,7,1,Fraud
8278,Taxi services,India,India,Mobile,Weekend,4727,2,0,No Fraud
10498,Taxi services,Canada,Indonesia,Mobile,Weekday,2277,1,1,Fraud
5325,Bakeries,Nigeria,Nigeria,Laptop,Weekend,4695,1,0,No Fraud
11735,Taxi services,Kenya,Mexico,Laptop,Weekday,4404,2,1,Fraud
24411,Airlines,America,Mexico,Mobile,Weekend,3072,8,1,Fraud
8000,Hotels,Japan,Philippines,Tablet,Weekday,7253,9,1,Fraud
3461,Department stores,Russia,Russia,Laptop,Weekend,4605,2,0,No Fraud
5298,Bakeries,Mexico,Mexico,Laptop,Weekday,7960,1,0,No Fraud
11456,Bitcoin exchanges,United Kingdom,Russia,Laptop,Weekend,3125,3,1,Fraud
11528,Liquor stores,Argentina,Argentina,Mobile,Weekday,5993,1,0,No Fraud
13009,Clothing stores,South Korea,Mexico,Mobile,Weekday,2866,8,1,Fraud
29827,Department stores,United Kingdom,Indonesia,Tablet,Weekday,8570,8,1,Fraud
18345,Airlines,Spain,Pakistan,Tablet,Weekday,4587,8,1,Fraud
6353,Clothing stores,South Africa,South Africa,Tablet,Weekday,3813,1,0,No Fraud
27616,Bitcoin exchanges,Kenya,Russia,Mobile,Weekday,4822,5,1,Fraud
10386,Bakeries,Kenya,Philippines,Laptop,Weekday,2940,3,1,Fraud
5963,Department stores,United Kingdom,United Kingdom,Tablet,Weekend,7919,2,0,No Fraud
16463,Grocery stores,France,Indonesia,Tablet,Weekend,6853,10,1,Fraud
7714,Grocery stores,France,France,Mobile,Weekend,7850,1,0,No Fraud
2872,Liquor stores,Russia,Russia,Laptop,Weekend,3658,1,0,No Fraud
11433,Clothing stores,India,Indonesia,Mobile,Weekday,8032,3,1,Fraud
5288,Grocery stores,China,China,Mobile,Weekend,6693,1,0,No Fraud
5084,Department stores,South Africa,Nigeria,Mobile,Weekend,5279,3,1,Fraud
29196,Bakeries,Kenya,Nigeria,Laptop,Weekend,9942,2,1,Fraud
14784,Department stores,Australia,Australia,Mobile,Weekend,9733,2,0,No Fraud
10428,Grocery stores,Kenya,Nigeria,Tablet,Weekend,3697,10,1,Fraud
20356,Liquor stores,South Africa,South Africa,Mobile,Weekday,8961,3,0,No Fraud
20102,Adult websites,Germany,Mexico,Tablet,Weekday,8521,4,1,Fraud
9885,Taxi services,Nigeria,Nigeria,Laptop,Weekday,5026,1,0,No Fraud
2410,Department stores,Canada,Canada,Mobile,Weekend,2295,1,0,No Fraud
10159,Bakeries,Italy,Italy,Laptop,Weekday,5232,2,0,No Fraud
18908,Adult websites,India,Indonesia,Tablet,Weekday,5100,4,1,Fraud
15108,Liquor stores,South Korea,Philippines,Mobile,Weekday,5164,10,1,Fraud
2082,Bakeries,Argentina,Argentina,Tablet,Weekend,3361,1,0,No Fraud
4662,Taxi services,Japan,Japan,Mobile,Weekday,2377,1,0,No Fraud
12151,Hotels,United Kingdom,South Africa,Tablet,Weekend,7299,9,1,Fraud
23644,Adult websites,Japan,Indonesia,Tablet,Weekday,3072,6,1,Fraud
11966,Taxi services,United Kingdom,Indonesia,Tablet,Weekday,3568,7,1,Fraud
6759,Clothing stores,Spain,Spain,Laptop,Weekday,5442,2,0,No Fraud
9944,Liquor stores,France,Vietnam,Laptop,Weekday,6871,1,1,Fraud
7717,Bakeries,United Kingdom,United Kingdom,Mobile,Weekend,4957,2,0,No Fraud
28991,Clothing stores,Kenya,Russia,Laptop,Weekend,5055,1,1,Fraud
3774,Bakeries,Argentina,Argentina,Laptop,Weekday,2796,2,0,No Fraud
14932,Grocery stores,Mexico,Mexico,Mobile,Weekday,6127,2,0,No Fraud
15630,Adult websites,France,India,Laptop,Weekday,4975,6,1,Fraud
12785,Taxi services,Spain,Vietnam,Laptop,Weekend,9947,8,1,Fraud
16009,Bakeries,Kenya,Philippines,Tablet,Weekday,3510,3,1,Fraud
12334,Airlines,Kenya,Russia,Mobile,Weekday,6975,9,1,Fraud
9165,Taxi services,Germany,Germany,Mobile,Weekend,6173,2,0,No Fraud
13354,Hotels,Mexico,Indonesia,Mobile,Weekend,9339,5,1,Fraud
6962,Bitcoin exchanges,Japan,Vietnam,Tablet,Weekday,6593,4,1,Fraud
3832,Grocery stores,Kenya,Kenya,Tablet,Weekend,7062,1,0,No Fraud
9587,Liquor stores,France,South Africa,Tablet,Weekday,2783,1,1,Fraud
9791,Department stores,Australia,Australia,Tablet,Weekend,6734,2,0,No Fraud
7051,Liquor stores,United Kingdom,Mexico,Mobile,Weekend,5842,4,1,Fraud
12691,Bakeries,Germany,Germany,Tablet,Weekday,8641,1,0,No Fraud
9581,Liquor stores,South Korea,South Korea,Mobile,Weekday,6607,1,0,No Fraud
17269,Clothing stores,India,India,Laptop,Weekday,8903,1,0,No Fraud
14892,Grocery stores,Nigeria,Nigeria,Mobile,Weekend,9093,1,0,No Fraud
27593,Hotels,United Kingdom,Russia,Mobile,Weekday,7441,7,1,Fraud
17370,Grocery stores,Australia,Brazil,Tablet,Weekend,3271,10,1,Fraud
9854,Clothing stores,Japan,Russia,Laptop,Weekend,5465,5,1,Fraud
7360,Department stores,South Africa,South Africa,Mobile,Weekday,6593,2,0,No Fraud
5558,Liquor stores,Canada,Canada,Mobile,Weekday,7993,2,0,No Fraud
9041,Clothing stores,Mexico,Mexico,Tablet,Weekend,8466,1,0,No Fraud
6698,Grocery stores,India,India,Mobile,Weekday,3470,1,0,No Fraud
3897,Grocery stores,Germany,Germany,Laptop,Weekend,4321,2,1,Fraud
3714,Department stores,Mexico,Mexico,Mobile,Weekend,4754,2,0,No Fraud
7200,Grocery stores,China,China,Laptop,Weekend,4919,2,1,Fraud
7569,Adult websites,Kenya,Kenya,Mobile,Weekday,4734,4,1,Fraud
4467,Department stores,China,China,Tablet,Weekend,3499,1,0,No Fraud
16216,Clothing stores,China,Indonesia,Mobile,Weekend,7973,8,1,Fraud
4581,Bakeries,Germany,Germany,Mobile,Weekday,5803,2,0,No Fraud
7553,Clothing stores,United Kingdom,United Kingdom,Tablet,Weekday,9360,2,0,No Fraud
13852,Taxi services,France,France,Laptop,Weekday,7031,2,1,Fraud
14622,Bakeries,Japan,Japan,Laptop,Weekend,7556,1,1,Fraud
7176,Clothing stores,Canada,Canada,Tablet,Weekday,5487,2,0,No Fraud
28020,Department stores,China,India,Tablet,Weekend,9517,10,1,Fraud
6100,Taxi services,Australia,Pakistan,Tablet,Weekend,2857,7,1,Fraud
29215,Department stores,India,Philippines,Mobile,Weekday,4728,5,1,Fraud
27966,Bakeries,Australia,Brazil,Mobile,Weekend,3831,2,1,Fraud
2644,Grocery stores,South Korea,South Korea,Tablet,Weekend,2073,1,0,No Fraud
5343,Liquor stores,India,India,Mobile,Weekday,4519,1,0,No Fraud
7639,Grocery stores,Italy,Italy,Tablet,Weekday,4570,1,0,No Fraud
19043,Department stores,Canada,Mexico,Laptop,Weekend,9275,10,1,Fraud
8375,Bitcoin exchanges,South Korea,Vietnam,Tablet,Weekday,2204,4,1,Fraud
8008,Liquor stores,South Korea,South Africa,Laptop,Weekend,5323,5,1,Fraud
11424,Department stores,South Korea,South Korea,Tablet,Weekend,8894,2,0,No Fraud
12751,Bitcoin exchanges,Spain,Spain,Tablet,Weekend,2787,4,1,Fraud
5954,Department stores,India,India,Laptop,Weekend,5234,10,1,Fraud
29659,Clothing stores,India,India,Mobile,Weekday,8624,5,1,Fraud
8044,Airlines,Australia,Vietnam,Mobile,Weekend,7231,6,1,Fraud
23972,Airlines,Spain,Brazil,Tablet,Weekday,9735,1,1,Fraud
14441,Airlines,Italy,Philippines,Tablet,Weekend,7423,10,1,Fraud
8373,Grocery stores,India,Brazil,Laptop,Weekday,9967,7,1,Fraud
24680,Grocery stores,Argentina,Pakistan,Mobile,Weekend,7672,10,1,Fraud
21017,Hotels,India,Philippines,Laptop,Weekend,4355,4,1,Fraud
10595,Department stores,China,China,Tablet,Weekday,5347,2,0,No Fraud
5764,Taxi services,Kenya,Kenya,Laptop,Weekend,5107,2,0,No Fraud
25243,Department stores,America,Pakistan,Tablet,Weekend,3930,1,1,Fraud
2723,Department stores,India,India,Mobile,Weekend,2171,2,0,No Fraud
10256,Clothing stores,Japan,Japan,Laptop,Weekday,6014,1,1,Fraud
29302,Bitcoin exchanges,America,Pakistan,Tablet,Weekday,8922,10,1,Fraud
16106,Clothing stores,Germany,Pakistan,Tablet,Weekday,3420,8,1,Fraud
13088,Bitcoin exchanges,Germany,Vietnam,Mobile,Weekend,7510,10,1,Fraud
17874,Bitcoin exchanges,India,Philippines,Mobile,Weekend,9243,5,1,Fraud
10633,Airlines,Kenya,Pakistan,Mobile,Weekend,5032,6,1,Fraud
9646,Grocery stores,Germany,Indonesia,Mobile,Weekday,2176,5,1,Fraud
11393,Bakeries,Kenya,India,Laptop,Weekday,7912,6,1,Fraud
5316,Clothing stores,France,France,Mobile,Weekday,3780,1,0,No Fraud
9651,Clothing stores,Italy,Italy,Mobile,Weekday,5074,1,0,No Fraud
18956,Clothing stores,China,Russia,Mobile,Weekday,4772,4,1,Fraud
2004,Bakeries,Brazil,Brazil,Mobile,Weekday,2272,1,0,No Fraud
11382,Hotels,Russia,Mexico,Mobile,Weekday,4624,1,1,Fraud
6825,Liquor stores,Brazil,Vietnam,Mobile,Weekday,8879,2,1,Fraud
7045,Taxi services,Argentina,Argentina,Tablet,Weekend,7056,1,0,No Fraud
4191,Grocery stores,Kenya,Kenya,Tablet,Weekday,3694,1,0,No Fraud
16409,Bitcoin exchanges,Mexico,Vietnam,Laptop,Weekday,4575,5,1,Fraud
8580,Grocery stores,Canada,Canada,Laptop,Weekday,6307,1,0,No Fraud
8781,Liquor stores,South Korea,Mexico,Mobile,Weekend,8134,9,1,Fraud
13183,Clothing stores,Spain,India,Tablet,Weekday,3147,8,1,Fraud
13748,Liquor stores,France,France,Laptop,Weekday,8442,1,0,No Fraud
11534,Grocery stores,Argentina,Argentina,Mobile,Weekend,8807,4,1,Fraud
13760,Bitcoin exchanges,China,Indonesia,Mobile,Weekend,8178,4,1,Fraud
23843,Grocery stores,United Kingdom,Mexico,Tablet,Weekday,9773,8,1,Fraud
10243,Clothing stores,United Kingdom,United Kingdom,Laptop,Weekday,5740,2,1,Fraud
17041,Adult websites,Russia,Vietnam,Laptop,Weekend,5509,8,1,Fraud
29275,Liquor stores,China,South Africa,Laptop,Weekend,3420,8,1,Fraud
3716,Liquor stores,Italy,Italy,Laptop,Weekend,5204,2,0,No Fraud
11236,Bakeries,France,France,Laptop,Weekend,9410,2,0,No Fraud
8385,Department stores,Canada,South Africa,Tablet,Weekday,9040,1,1,Fraud
20767,Liquor stores,America,India,Mobile,Weekday,3327,6,1,Fraud
13665,Taxi services,South Korea,Russia,Tablet,Weekday,2899,1,1,Fraud
5970,Liquor stores,Mexico,Brazil,Mobile,Weekend,2584,10,1,Fraud
29392,Grocery stores,Canada,Mexico,Laptop,Weekday,3053,7,1,Fraud
9842,Bakeries,Spain,Spain,Mobile,Weekend,7555,1,0,No Fraud
5152,Bakeries,United Kingdom,United Kingdom,Laptop,Weekend,7241,2,1,Fraud
3025,Grocery stores,Russia,Russia,Tablet,Weekend,4583,2,0,No Fraud
24008,Department stores,China,South Africa,Tablet,Weekday,6108,8,1,Fraud
5318,Adult websites,Brazil,Russia,Tablet,Weekend,5289,2,1,Fraud
9647,Airlines,Argentina,Russia,Mobile,Weekday,4884,6,1,Fraud
12087,Department stores,Nigeria,Nigeria,Mobile,Weekend,6071,2,0,No Fraud
2214,Bakeries,Mexico,Mexico,Tablet,Weekend,3383,1,0,No Fraud
19987,Hotels,China,Pakistan,Mobile,Weekday,3084,6,1,Fraud
5487,Taxi services,Australia,Australia,Tablet,Weekend,5747,2,0,No Fraud
20161,Hotels,Mexico,Nigeria,Laptop,Weekend,5689,8,1,Fraud
14183,Adult websites,Brazil,Philippines,Laptop,Weekday,4352,8,1,Fraud
4049,Grocery stores,Canada,Canada,Mobile,Weekday,5449,2,0,No Fraud
10033,Bakeries,France,France,Laptop,Weekday,9262,2,0,No Fraud
23706,Liquor stores,France,Philippines,Tablet,Weekend,8810,10,1,Fraud
8608,Bakeries,Brazil,Brazil,Laptop,Weekend,5987,1,1,Fraud
2910,Clothing stores,Italy,Italy,Mobile,Weekday,2739,2,0,No Fraud
17705,Clothing stores,Kenya,Kenya,Tablet,Weekday,4319,2,1,Fraud
20056,Hotels,Germany,India,Mobile,Weekday,8046,1,1,Fraud
15281,Clothing stores,Japan,Japan,Mobile,Weekday,8633,1,0,No Fraud
22585,Department stores,Russia,Nigeria,Tablet,Weekend,4485,7,1,Fraud
23309,Bakeries,Japan,Brazil,Mobile,Weekend,9874,3,1,Fraud
18632,Bitcoin exchanges,Germany,Nigeria,Mobile,Weekday,2891,5,1,Fraud
17844,Grocery stores,South Africa,South Africa,Tablet,Weekday,9375,1,0,No Fraud
9874,Department stores,Nigeria,Nigeria,Tablet,Weekend,7877,1,0,No Fraud
13507,Clothing stores,China,China,Mobile,Weekday,7046,1,0,No Fraud
25383,Adult websites,India,Pakistan,Tablet,Weekday,3021,7,1,Fraud
10893,Department stores,Japan,Brazil,Tablet,Weekday,6082,8,1,Fraud
5373,Airlines,China,Philippines,Tablet,Weekend,6740,1,1,Fraud
3334,Clothing stores,South Africa,South Africa,Mobile,Weekday,2642,2,0,No Fraud
6821,Taxi services,Japan,Japan,Laptop,Weekday,4038,2,0,No Fraud
8665,Grocery stores,United Kingdom,United Kingdom,Mobile,Weekday,6171,2,0,No Fraud
21246,Taxi services,United Kingdom,Nigeria,Mobile,Weekday,9610,1,1,Fraud
23964,Clothing stores,South Africa,India,Mobile,Weekday,5722,7,1,Fraud
13812,Airlines,Germany,India,Tablet,Weekday,9732,1,1,Fraud
15598,Bakeries,Japan,Vietnam,Tablet,Weekday,9303,3,1,Fraud
28176,Clothing stores,Japan,Mexico,Mobile,Weekday,6966,2,1,Fraud
5108,Department stores,America,America,Tablet,Weekday,3809,2,0,No Fraud
22162,Hotels,Brazil,Mexico,Tablet,Weekday,7403,10,1,Fraud
3804,Clothing stores,South Africa,South Africa,Laptop,Weekend,5164,2,0,No Fraud
15393,Taxi services,Nigeria,South Africa,Mobile,Weekend,6572,7,1,Fraud
4699,Bakeries,Canada,Canada,Tablet,Weekend,6168,2,0,No Fraud
5604,Department stores,Kenya,Kenya,Laptop,Weekday,9710,1,0,No Fraud
19042,Department stores,United Kingdom,Russia,Laptop,Weekday,9248,4,1,Fraud
19188,Bakeries,Spain,Indonesia,Laptop,Weekend,2462,7,1,Fraud
6841,Liquor stores,Mexico,Mexico,Laptop,Weekend,8415,1,0,No Fraud
5678,Taxi services,Canada,Canada,Tablet,Weekend,6550,2,0,No Fraud
28384,Bitcoin exchanges,Argentina,Brazil,Tablet,Weekday,3692,4,1,Fraud
6761,Grocery stores,United Kingdom,United Kingdom,Laptop,Weekday,6121,2,1,Fraud
20551,Grocery stores,Kenya,Russia,Laptop,Weekday,7412,4,1,Fraud
5641,Adult websites,India,Brazil,Tablet,Weekend,3237,10,1,Fraud
22352,Adult websites,Germany,Vietnam,Mobile,Weekday,3114,3,1,Fraud
29219,Adult websites,China,Vietnam,Laptop,Weekday,3010,2,1,Fraud
2938,Liquor stores,South Korea,South Korea,Mobile,Weekend,2215,2,0,No Fraud
11306,Grocery stores,United Kingdom,United Kingdom,Mobile,Weekend,7500,2,0,No Fraud
18662,Bakeries,China,China,Tablet,Weekend,9640,2,0,No Fraud
18697,Liquor stores,Germany,Pakistan,Laptop,Weekday,6945,8,1,Fraud
2178,Liquor stores,Russia,Russia,Tablet,Weekend,3240,1,0,No Fraud
8563,Taxi services,Australia,Australia,Mobile,Weekend,5509,2,0,No Fraud
14993,Clothing stores,Brazil,Russia,Tablet,Weekday,5925,3,1,Fraud
13046,Clothing stores,Australia,Russia,Mobile,Weekday,7408,3,1,Fraud
26617,Hotels,Argentina,Philippines,Mobile,Weekend,4916,8,1,Fraud
26180,Airlines,China,Vietnam,Laptop,Weekday,3929,3,1,Fraud
11721,Bakeries,Japan,Mexico,Tablet,Weekday,8065,10,1,Fraud
16238,Bakeries,Brazil,Philippines,Tablet,Weekend,2557,6,1,Fraud
12523,Adult websites,South Korea,Pakistan,Mobile,Weekend,2940,6,1,Fraud
10736,Liquor stores,Germany,Russia,Mobile,Weekend,5960,5,1,Fraud
24975,Taxi services,Germany,India,Mobile,Weekend,5724,7,1,Fraud
18213,Liquor stores,South Korea,South Korea,Tablet,Weekday,9730,2,0,No Fraud
6652,Department stores,France,France,Tablet,Weekend,3985,2,0,No Fraud
4750,Grocery stores,France,France,Mobile,Weekday,2871,2,0,No Fraud
8069,Bakeries,Spain,Spain,Tablet,Weekday,4973,2,0,No Fraud
9866,Grocery stores,Canada,Canada,Tablet,Weekday,8964,2,0,No Fraud
11568,Liquor stores,China,China,Laptop,Weekday,8284,1,1,Fraud
21347,Airlines,Mexico,Mexico,Tablet,Weekend,6559,4,1,Fraud
10176,Bakeries,Argentina,Argentina,Tablet,Weekend,6906,2,0,No Fraud
4914,Taxi services,Brazil,Brazil,Mobile,Weekend,8517,1,0,No Fraud
10366,Liquor stores,Australia,Australia,Laptop,Weekday,9335,1,0,No Fraud
9797,Taxi services,Kenya,Kenya,Mobile,Weekday,7123,2,0,No Fraud
2906,Liquor stores,China,China,Mobile,Weekday,5629,1,0,No Fraud
27903,Adult websites,Australia,Philippines,Mobile,Weekday,6093,6,1,Fraud
4616,Department stores,Russia,Russia,Laptop,Weekend,8530,1,0,No Fraud
